Ticker,Stock Name,Trade Date,Trade Time,Trade Size,Execution Time (ms),Trade Direction, Trade Price ,Exchange,Order type
CAT,Caterpillar Inc.,1/17/2024,15:11:34,665,910,SELL,$178.04 ,NYSE,MKT
AAPL,Apple Inc.,1/2/2024,11:03:48,51,288,SELL,$169.23 ,NASDAQ,MKT
AAPL,Apple Inc.,1/9/2024,12:03:00,280,619,BUY,$189.68 ,NASDAQ,MKT
AAPL,Apple Inc.,12/19/2023,10:40:45,250,221,BUY,$173.75 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/15/2023,9:10:58,411,609,BUY,$209.25 ,NYSE,MKT
AAPL,Apple Inc.,1/16/2024,14:52:15,268,645,BUY,$135.59 ,NASDAQ,MKT
AAPL,Apple Inc.,1/11/2024,11:05:07,275,688,BUY,$181.32 ,NASDAQ,MKT
AAPL,Apple Inc.,12/26/2023,12:44:17,202,338,SELL,$150.48 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/9/2024,13:02:52,320,366,SELL,$151.14 ,NYSE,MKT
AAPL,Apple Inc.,1/19/2024,13:07:07,827,487,SELL,$194.25 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/11/2024,15:28:06,605,664,BUY,$115.80 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/8/2024,15:39:56,28,902,BUY,$128.36 ,NYSE,MKT
CAT,Caterpillar Inc.,1/9/2024,9:28:40,965,414,BUY,$225.57 ,NYSE,MKT
AAPL,Apple Inc.,1/18/2024,13:09:12,19,112,BUY,$196.36 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/27/2023,11:17:51,139,265,SELL,$138.53 ,NYSE,MKT
CAT,Caterpillar Inc.,12/27/2023,9:58:44,631,201,BUY,$203.41 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/11/2024,14:46:21,498,516,BUY,$151.86 ,NYSE,MKT
AAPL,Apple Inc.,12/18/2023,14:03:57,451,953,SELL,$179.48 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/11/2024,14:29:06,455,151,SELL,$169.52 ,NYSE,MKT
AAPL,Apple Inc.,1/11/2024,12:07:16,117,166,SELL,$160.47 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/4/2024,12:46:45,237,816,BUY,$180.00 ,NYSE,MKT
AAPL,Apple Inc.,1/18/2024,13:02:40,545,393,SELL,$142.08 ,NASDAQ,MKT
AAPL,Apple Inc.,1/10/2024,13:54:37,725,717,BUY,$142.99 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/10/2024,11:04:07,118,146,SELL,$140.29 ,NYSE,MKT
CAT,Caterpillar Inc.,1/17/2024,12:31:55,436,687,SELL,$226.86 ,NYSE,MKT
AAPL,Apple Inc.,1/16/2024,14:12:55,55,689,BUY,$135.71 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/9/2024,10:40:10,789,414,BUY,$156.04 ,NYSE,MKT
AAPL,Apple Inc.,1/18/2024,10:08:26,588,840,SELL,$142.25 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/18/2024,9:04:32,228,923,SELL,$107.08 ,NYSE,MKT
AAPL,Apple Inc.,12/28/2023,10:31:22,717,197,SELL,$175.76 ,NASDAQ,MKT
AAPL,Apple Inc.,1/15/2024,10:42:30,845,261,SELL,$181.47 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/9/2024,15:33:34,370,758,BUY,$120.62 ,NYSE,MKT
CAT,Caterpillar Inc.,12/19/2023,13:09:49,982,659,SELL,$239.08 ,NYSE,MKT
AAPL,Apple Inc.,1/23/2024,9:32:04,511,526,BUY,$188.09 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/23/2024,12:43:29,645,103,SELL,$149.23 ,NYSE,MKT
AAPL,Apple Inc.,12/22/2023,15:01:54,265,877,BUY,$131.07 ,NASDAQ,MKT
AAPL,Apple Inc.,12/18/2023,11:02:49,222,823,BUY,$198.71 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/8/2024,11:38:29,758,550,SELL,$159.73 ,NYSE,MKT
CAT,Caterpillar Inc.,1/10/2024,13:03:47,312,358,BUY,$243.21 ,NYSE,MKT
CAT,Caterpillar Inc.,1/22/2024,14:25:00,979,532,BUY,$193.88 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/19/2023,15:38:05,786,240,SELL,$140.78 ,NYSE,MKT
AAPL,Apple Inc.,12/27/2023,12:18:08,874,836,BUY,$180.63 ,NASDAQ,MKT
AAPL,Apple Inc.,1/22/2024,9:20:19,663,236,SELL,$177.81 ,NASDAQ,MKT
AAPL,Apple Inc.,1/12/2024,13:29:48,425,708,SELL,$154.66 ,NASDAQ,MKT
AAPL,Apple Inc.,1/5/2024,12:41:51,697,220,SELL,$197.17 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/22/2023,15:04:47,424,267,SELL,$248.44 ,NYSE,MKT
AAPL,Apple Inc.,1/17/2024,14:57:28,705,589,SELL,$191.54 ,NASDAQ,MKT
AAPL,Apple Inc.,1/18/2024,14:15:11,154,514,SELL,$181.99 ,NASDAQ,MKT
AAPL,Apple Inc.,12/19/2023,11:24:54,990,849,SELL,$154.44 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/18/2024,14:39:50,359,682,BUY,$159.21 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/18/2023,15:56:12,704,933,SELL,$104.13 ,NYSE,MKT
AAPL,Apple Inc.,1/11/2024,12:42:51,824,326,BUY,$194.12 ,NASDAQ,MKT
AAPL,Apple Inc.,12/28/2023,13:52:40,101,323,SELL,$163.75 ,NASDAQ,MKT
AAPL,Apple Inc.,12/14/2023,15:43:08,992,247,BUY,$189.59 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/28/2023,11:55:59,192,916,SELL,$143.59 ,NYSE,MKT
CAT,Caterpillar Inc.,12/22/2023,13:15:10,304,844,SELL,$217.52 ,NYSE,MKT
CAT,Caterpillar Inc.,12/15/2023,15:02:07,96,205,BUY,$156.50 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/13/2023,13:23:00,424,186,SELL,$141.33 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/11/2024,9:22:49,738,572,SELL,$121.79 ,NYSE,MKT
CAT,Caterpillar Inc.,12/21/2023,15:10:07,965,278,SELL,$229.20 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/11/2024,12:35:50,224,521,BUY,$118.13 ,NYSE,MKT
AAPL,Apple Inc.,1/15/2024,15:39:17,312,715,SELL,$182.28 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/28/2023,10:37:08,981,920,BUY,$247.19 ,NYSE,MKT
CAT,Caterpillar Inc.,12/27/2023,11:31:33,812,584,BUY,$206.07 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/26/2023,11:02:30,622,744,BUY,$106.98 ,NYSE,MKT
CAT,Caterpillar Inc.,1/12/2024,12:45:54,610,726,BUY,$220.94 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/12/2023,14:33:49,527,721,BUY,$103.74 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/28/2023,13:40:22,99,280,BUY,$126.47 ,NYSE,MKT
AAPL,Apple Inc.,1/16/2024,13:34:29,13,942,SELL,$145.98 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/18/2024,10:08:41,899,935,SELL,$234.46 ,NYSE,MKT
AAPL,Apple Inc.,1/3/2024,9:48:25,573,696,BUY,$192.87 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/13/2023,12:44:23,208,283,SELL,$108.61 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/28/2023,9:25:45,229,611,SELL,$128.78 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/13/2023,10:16:06,172,139,SELL,$125.88 ,NYSE,MKT
AAPL,Apple Inc.,1/15/2024,15:10:43,117,482,SELL,$193.44 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/21/2023,12:18:20,551,651,SELL,$176.21 ,NYSE,MKT
CAT,Caterpillar Inc.,12/14/2023,14:56:13,855,701,SELL,$159.73 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/26/2023,14:26:58,721,479,BUY,$121.93 ,NYSE,MKT
CAT,Caterpillar Inc.,12/18/2023,10:53:27,740,930,BUY,$211.72 ,NYSE,MKT
AAPL,Apple Inc.,12/18/2023,13:56:32,953,802,SELL,$157.47 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/21/2023,9:28:51,625,380,SELL,$114.71 ,NYSE,MKT
AAPL,Apple Inc.,1/17/2024,13:53:47,78,673,SELL,$188.10 ,NASDAQ,MKT
AAPL,Apple Inc.,12/25/2023,11:49:57,663,746,BUY,$188.11 ,NASDAQ,MKT
AAPL,Apple Inc.,1/18/2024,12:12:21,203,954,SELL,$192.40 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/16/2024,9:22:10,642,483,BUY,$150.17 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/20/2023,14:58:44,405,586,SELL,$127.55 ,NYSE,MKT
CAT,Caterpillar Inc.,12/29/2023,9:59:47,469,620,BUY,$168.76 ,NYSE,MKT
CAT,Caterpillar Inc.,12/18/2023,15:44:06,822,465,BUY,$219.22 ,NYSE,MKT
AAPL,Apple Inc.,1/4/2024,14:16:53,256,270,BUY,$185.29 ,NASDAQ,MKT
AAPL,Apple Inc.,12/28/2023,15:37:35,505,682,BUY,$141.91 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/11/2024,11:46:47,103,101,BUY,$189.08 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/25/2023,11:24:30,196,365,SELL,$133.09 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/26/2023,9:28:25,426,639,SELL,$137.77 ,NYSE,MKT
CAT,Caterpillar Inc.,1/10/2024,14:48:27,654,596,BUY,$169.36 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/12/2024,14:34:47,199,592,SELL,$113.40 ,NYSE,MKT
AAPL,Apple Inc.,12/13/2023,15:37:57,766,201,BUY,$152.17 ,NASDAQ,MKT
AAPL,Apple Inc.,1/10/2024,13:46:20,694,235,BUY,$146.19 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/11/2024,13:14:00,909,645,SELL,$157.57 ,NYSE,MKT
AAPL,Apple Inc.,12/12/2023,13:27:32,606,116,BUY,$133.20 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/15/2024,10:22:29,885,669,SELL,$166.69 ,NYSE,MKT
CAT,Caterpillar Inc.,1/3/2024,12:21:45,456,936,BUY,$187.28 ,NYSE,MKT
CAT,Caterpillar Inc.,1/10/2024,12:48:49,628,987,SELL,$162.62 ,NYSE,MKT
CAT,Caterpillar Inc.,12/21/2023,15:24:59,603,146,SELL,$179.29 ,NYSE,MKT
AAPL,Apple Inc.,1/12/2024,14:46:49,976,146,BUY,$161.85 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/23/2024,14:40:00,981,233,SELL,$247.94 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/17/2024,15:56:46,679,723,SELL,$140.04 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/14/2023,14:02:59,664,778,BUY,$103.83 ,NYSE,MKT
CAT,Caterpillar Inc.,12/21/2023,15:34:40,802,195,SELL,$205.74 ,NYSE,MKT
AAPL,Apple Inc.,12/19/2023,9:54:53,280,258,BUY,$198.91 ,NASDAQ,MKT
AAPL,Apple Inc.,12/29/2023,13:43:09,878,799,SELL,$194.55 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/10/2024,11:11:54,369,813,BUY,$113.40 ,NYSE,MKT
CAT,Caterpillar Inc.,1/11/2024,12:17:08,945,179,SELL,$184.22 ,NYSE,MKT
CAT,Caterpillar Inc.,12/15/2023,10:24:09,528,737,SELL,$222.17 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/11/2024,10:37:51,705,674,SELL,$117.53 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/28/2023,15:05:30,139,357,BUY,$103.76 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/21/2023,14:24:17,133,315,SELL,$156.77 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/22/2024,11:30:21,492,912,BUY,$113.42 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/15/2023,10:56:14,562,897,BUY,$102.35 ,NYSE,MKT
CAT,Caterpillar Inc.,1/18/2024,14:02:14,140,184,BUY,$160.43 ,NYSE,MKT
CAT,Caterpillar Inc.,12/27/2023,11:23:16,350,893,BUY,$243.24 ,NYSE,MKT
CAT,Caterpillar Inc.,1/16/2024,11:06:47,937,197,BUY,$150.15 ,NYSE,MKT
AAPL,Apple Inc.,1/11/2024,15:06:30,969,884,BUY,$156.80 ,NASDAQ,MKT
AAPL,Apple Inc.,1/19/2024,13:44:06,80,656,SELL,$140.64 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/16/2024,10:26:33,971,688,BUY,$147.00 ,NYSE,MKT
CAT,Caterpillar Inc.,1/15/2024,12:27:19,685,445,SELL,$184.22 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/11/2024,11:53:42,153,104,BUY,$140.79 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/16/2024,10:53:35,406,289,SELL,$117.93 ,NYSE,MKT
CAT,Caterpillar Inc.,1/5/2024,11:58:06,381,590,BUY,$167.75 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/14/2023,11:03:49,253,258,SELL,$157.47 ,NYSE,MKT
AAPL,Apple Inc.,1/10/2024,11:24:48,298,137,SELL,$167.67 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/8/2024,11:50:09,474,824,BUY,$106.99 ,NYSE,MKT
AAPL,Apple Inc.,12/28/2023,14:49:30,282,701,SELL,$185.96 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/23/2024,14:58:54,890,506,BUY,$126.36 ,NYSE,MKT
CAT,Caterpillar Inc.,1/15/2024,11:38:37,843,666,SELL,$205.03 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/27/2023,12:43:44,480,959,BUY,$137.97 ,NYSE,MKT
CAT,Caterpillar Inc.,1/16/2024,13:15:58,444,821,BUY,$218.25 ,NYSE,MKT
CAT,Caterpillar Inc.,1/4/2024,11:31:51,863,834,SELL,$242.75 ,NYSE,MKT
CAT,Caterpillar Inc.,12/29/2023,15:46:54,565,280,BUY,$185.52 ,NYSE,MKT
CAT,Caterpillar Inc.,12/27/2023,11:27:42,213,762,BUY,$172.50 ,NYSE,MKT
CAT,Caterpillar Inc.,1/3/2024,15:00:13,772,111,BUY,$216.10 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/15/2024,10:46:42,669,944,BUY,$114.09 ,NYSE,MKT
CAT,Caterpillar Inc.,12/25/2023,12:19:21,663,321,BUY,$240.84 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/14/2023,9:23:36,560,614,BUY,$117.88 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/17/2024,13:10:20,992,188,BUY,$105.28 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/27/2023,11:21:20,975,991,BUY,$156.98 ,NYSE,MKT
CAT,Caterpillar Inc.,1/16/2024,11:26:12,679,971,BUY,$216.92 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/29/2023,9:50:21,865,860,SELL,$134.16 ,NYSE,MKT
AAPL,Apple Inc.,1/23/2024,11:35:18,308,306,SELL,$198.55 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/25/2023,9:56:24,969,989,SELL,$236.71 ,NYSE,MKT
AAPL,Apple Inc.,12/25/2023,13:03:45,48,591,BUY,$179.16 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/27/2023,9:01:16,792,209,SELL,$137.85 ,NYSE,MKT
AAPL,Apple Inc.,1/17/2024,13:21:37,475,839,SELL,$199.09 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/13/2023,12:53:08,996,700,BUY,$141.14 ,NYSE,MKT
AAPL,Apple Inc.,1/18/2024,15:26:55,392,520,SELL,$193.77 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/4/2024,14:51:38,433,551,SELL,$125.80 ,NYSE,MKT
AAPL,Apple Inc.,1/5/2024,10:48:53,649,207,SELL,$131.21 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/28/2023,13:41:35,823,743,BUY,$204.18 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/18/2023,11:18:54,102,441,BUY,$159.03 ,NYSE,MKT
CAT,Caterpillar Inc.,1/19/2024,15:37:31,876,711,BUY,$202.19 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/1/2024,9:07:40,915,993,BUY,$117.87 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/28/2023,12:33:15,30,980,BUY,$130.63 ,NYSE,MKT
AAPL,Apple Inc.,12/18/2023,15:13:04,839,886,BUY,$149.07 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/12/2024,10:32:46,875,308,BUY,$142.48 ,NYSE,MKT
CAT,Caterpillar Inc.,1/4/2024,14:50:40,255,324,BUY,$249.72 ,NYSE,MKT
AAPL,Apple Inc.,12/29/2023,15:02:22,838,217,SELL,$168.24 ,NASDAQ,MKT
AAPL,Apple Inc.,12/15/2023,15:18:34,755,294,SELL,$182.27 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/28/2023,15:51:52,661,918,SELL,$116.62 ,NYSE,MKT
CAT,Caterpillar Inc.,12/13/2023,10:03:16,841,488,BUY,$172.52 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/10/2024,14:53:07,137,772,BUY,$117.85 ,NYSE,MKT
CAT,Caterpillar Inc.,12/25/2023,14:15:43,283,764,BUY,$159.57 ,NYSE,MKT
CAT,Caterpillar Inc.,1/16/2024,12:39:26,401,976,BUY,$175.85 ,NYSE,MKT
CAT,Caterpillar Inc.,1/18/2024,15:36:58,521,588,SELL,$215.35 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/10/2024,14:02:40,164,360,BUY,$158.28 ,NYSE,MKT
AAPL,Apple Inc.,12/28/2023,13:14:35,407,660,BUY,$196.12 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/4/2024,9:36:11,371,996,SELL,$155.75 ,NYSE,MKT
CAT,Caterpillar Inc.,12/12/2023,9:43:55,695,544,SELL,$199.23 ,NYSE,MKT
CAT,Caterpillar Inc.,1/22/2024,14:32:13,324,101,BUY,$227.46 ,NYSE,MKT
AAPL,Apple Inc.,12/22/2023,14:43:36,447,695,SELL,$167.82 ,NASDAQ,MKT
AAPL,Apple Inc.,1/10/2024,15:13:58,781,614,SELL,$176.32 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/4/2024,10:23:14,86,998,SELL,$183.66 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/23/2024,9:54:22,876,792,SELL,$124.91 ,NYSE,MKT
CAT,Caterpillar Inc.,1/9/2024,15:33:18,245,293,SELL,$227.88 ,NYSE,MKT
AAPL,Apple Inc.,12/20/2023,14:03:42,181,216,SELL,$143.85 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/27/2023,12:30:12,689,628,BUY,$123.20 ,NYSE,MKT
CAT,Caterpillar Inc.,12/28/2023,10:39:23,255,787,BUY,$177.51 ,NYSE,MKT
AAPL,Apple Inc.,12/29/2023,12:44:49,238,513,SELL,$150.63 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/14/2023,11:27:28,240,978,BUY,$145.96 ,NYSE,MKT
AAPL,Apple Inc.,1/11/2024,15:36:34,501,208,SELL,$174.99 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/19/2023,13:10:27,536,348,SELL,$228.81 ,NYSE,MKT
AAPL,Apple Inc.,12/28/2023,15:19:09,393,676,BUY,$199.65 ,NASDAQ,MKT
AAPL,Apple Inc.,1/4/2024,12:48:13,830,611,SELL,$189.98 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/12/2023,15:32:45,58,598,SELL,$115.38 ,NYSE,MKT
AAPL,Apple Inc.,12/20/2023,15:14:10,872,433,SELL,$131.22 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/28/2023,11:50:54,691,645,BUY,$190.21 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/15/2024,13:54:32,433,990,SELL,$117.19 ,NYSE,MKT
CAT,Caterpillar Inc.,1/23/2024,10:52:21,623,446,BUY,$207.83 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/1/2024,10:52:21,793,851,BUY,$103.19 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/19/2023,11:02:21,737,728,BUY,$128.41 ,NYSE,MKT
AAPL,Apple Inc.,12/18/2023,9:02:35,241,826,BUY,$190.84 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/12/2024,15:24:59,636,731,BUY,$133.09 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,12/12/2023,10:12:11,263,454,BUY,$114.64 ,NYSE,MKT
CAT,Caterpillar Inc.,1/3/2024,14:39:22,658,533,SELL,$199.54 ,NYSE,MKT
CAT,Caterpillar Inc.,1/5/2024,11:41:39,253,715,BUY,$162.70 ,NYSE,MKT
AAPL,Apple Inc.,12/20/2023,11:22:06,356,451,SELL,$153.75 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/16/2024,10:13:54,914,174,BUY,$111.67 ,NYSE,MKT
CAT,Caterpillar Inc.,12/19/2023,15:41:29,562,793,BUY,$239.93 ,NYSE,MKT
CAT,Caterpillar Inc.,12/28/2023,10:24:16,817,231,BUY,$230.27 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/15/2024,12:26:35,50,449,SELL,$116.27 ,NYSE,MKT
AAPL,Apple Inc.,1/23/2024,14:31:56,427,796,SELL,$172.16 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/13/2023,9:44:24,825,858,SELL,$204.85 ,NYSE,MKT
AAPL,Apple Inc.,1/19/2024,11:52:09,115,874,SELL,$135.00 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,1/3/2024,9:48:07,80,566,BUY,$131.15 ,NYSE,MKT
CAT,Caterpillar Inc.,12/29/2023,9:38:11,730,833,SELL,$242.17 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/23/2024,12:29:13,239,257,SELL,$125.56 ,NYSE,MKT
AAPL,Apple Inc.,1/22/2024,12:11:37,944,246,BUY,$163.36 ,NASDAQ,MKT
JPM,JP Morgan Chase & Co.,12/18/2023,11:50:45,223,316,BUY,$151.86 ,NYSE,MKT
AAPL,Apple Inc.,1/11/2024,13:39:07,740,916,BUY,$183.88 ,NASDAQ,MKT
CAT,Caterpillar Inc.,1/19/2024,9:11:49,594,253,BUY,$242.39 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/8/2024,10:01:35,555,450,BUY,$136.69 ,NYSE,MKT
JPM,JP Morgan Chase & Co.,1/2/2024,10:22:56,826,241,SELL,$146.73 ,NYSE,MKT
AAPL,Apple Inc.,12/27/2023,11:20:08,692,119,BUY,$167.41 ,NASDAQ,MKT
CAT,Caterpillar Inc.,12/20/2023,12:10:05,963,347,BUY,$232.27 ,NYSE,MKT
CAT,Caterpillar Inc.,12/26/2023,15:09:32,400,806,SELL,$190.81 ,NYSE,MKT
AAPL,Apple Inc.,12/20/2023,10:18:29,890,314,BUY,$189.34 ,NASDAQ,MKT
AAPL,Apple Inc.,1/11/2024,13:33:48,868,680,BUY,$197.08 ,NASDAQ,MKT
